facility_name,facility_id,state,measure_name,number_of_discharges,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_of_readmissions,start_date,end_date,condition_name,risk_tier,deviation_from_national,penalty_flag,state_avg_ratio,hospital_rank_in_state,deviation_from_state_avg,estimated_penalty_cost
Baptist Medical Center South,10023,AL,READM-30-CABG-HRRP,,1.0851,11.598,10.688,,2021-07-01,2024-06-30,CABG,MEDIUM,0.0851,True,1.0447,7,0.0404,8505.48
Baptist Medical Center South,10023,AL,READM-30-AMI-HRRP,186.0,1.0084,14.2828,14.1632,27.0,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.0084,True,1.0292,19,-0.0208,839.55
Jackson Hospital & Clinic Inc,10024,AL,READM-30-PN-HRRP,260.0,1.0066,15.9827,15.8774,42.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0066,True,1.0032,28,0.0034,659.65
Jackson Hospital & Clinic Inc,10024,AL,READM-30-COPD-HRRP,87.0,0.9583,16.1925,16.8969,11.0,2021-07-01,2024-06-30,COPD,LOW,-0.0417,False,0.996,39,-0.0377,0.0
Jackson Hospital & Clinic Inc,10024,AL,READM-30-AMI-HRRP,141.0,1.0203,14.862,14.5665,22.0,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.0203,True,1.0292,15,-0.0089,2028.92
Jackson Hospital & Clinic Inc,10024,AL,READM-30-HF-HRRP,321.0,1.0207,19.7846,19.3825,65.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0207,True,1.0086,22,0.0121,2068.9
Jackson Hospital & Clinic Inc,10024,AL,READM-30-CABG-HRRP,,0.9386,10.8206,11.5286,,2021-07-01,2024-06-30,CABG,LOW,-0.0614,False,1.0447,17,-0.1061,0.0
The East Alabama Healthcare Authority,10029,AL,READM-30-PN-HRRP,211.0,0.8875,13.1459,14.8118,20.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.1125,False,1.0032,62,-0.1157,0.0
The East Alabama Healthcare Authority,10029,AL,READM-30-HF-HRRP,253.0,1.0273,18.6111,18.1163,49.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0273,True,1.0086,17,0.0187,2728.55
The East Alabama Healthcare Authority,10029,AL,READM-30-COPD-HRRP,,0.9239,16.2846,17.6261,,2021-07-01,2024-06-30,COPD,LOW,-0.0761,False,0.996,46,-0.0721,0.0
The East Alabama Healthcare Authority,10029,AL,READM-30-AMI-HRRP,91.0,1.0521,11.5674,10.9948,13.0,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.0521,True,1.0292,10,0.0229,5207.23
The East Alabama Healthcare Authority,10029,AL,READM-30-CABG-HRRP,,0.9704,9.9541,10.2577,,2021-07-01,2024-06-30,CABG,LOW,-0.0296,False,1.0447,15,-0.0743,0.0
The East Alabama Healthcare Authority,10029,AL,READM-30-HIP-KNEE-HRRP,401.0,0.9746,4.562,4.6807,18.0,2021-07-01,2024-06-30,Hip/Knee Replacement,LOW,-0.0254,False,1.0391,19,-0.0645,0.0
University Of Alabama Hospital,10033,AL,READM-30-PN-HRRP,343.0,1.0983,17.1081,15.5775,65.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0983,True,1.0032,5,0.0951,9824.77
University Of Alabama Hospital,10033,AL,READM-30-COPD-HRRP,169.0,0.9689,19.1648,19.78,30.0,2021-07-01,2024-06-30,COPD,LOW,-0.0311,False,0.996,33,-0.0271,0.0
University Of Alabama Hospital,10033,AL,READM-30-CABG-HRRP,358.0,1.2863,15.142,11.7722,61.0,2021-07-01,2024-06-30,CABG,HIGH,0.2863,True,1.0447,1,0.2416,28614.78
University Of Alabama Hospital,10033,AL,READM-30-AMI-HRRP,295.0,1.1901,17.2513,14.4954,60.0,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.1901,True,1.0292,1,0.1609,18999.89
University Of Alabama Hospital,10033,AL,READM-30-HIP-KNEE-HRRP,,1.3796,10.358,7.5079,,2021-07-01,2024-06-30,Hip/Knee Replacement,HIGH,0.3796,True,1.0391,2,0.3405,37939.82
University Of Alabama Hospital,10033,AL,READM-30-HF-HRRP,638.0,0.9861,19.7513,20.0293,125.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0139,False,1.0086,39,-0.0225,0.0
Cullman Regional Medical Center,10035,AL,READM-30-HIP-KNEE-HRRP,,0.8913,4.1609,4.6683,,2021-07-01,2024-06-30,Hip/Knee Replacement,LOW,-0.1087,False,1.0391,26,-0.1478,0.0
Cullman Regional Medical Center,10035,AL,READM-30-HF-HRRP,352.0,0.9659,17.458,18.0752,59.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0341,False,1.0086,46,-0.0427,0.0
Cullman Regional Medical Center,10035,AL,READM-30-AMI-HRRP,,1.0488,12.9285,12.3267,,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.0488,True,1.0292,12,0.0196,4877.41
Cullman Regional Medical Center,10035,AL,READM-30-PN-HRRP,441.0,0.9922,14.1743,14.2851,62.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0078,False,1.0032,36,-0.011,0.0
Cullman Regional Medical Center,10035,AL,READM-30-COPD-HRRP,137.0,1.0725,17.5077,16.3246,29.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.0725,True,0.996,3,0.0765,7246.15
Andalusia Health,10036,AL,READM-30-PN-HRRP,138.0,0.9462,14.2068,15.0146,16.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0538,False,1.0032,53,-0.057,0.0
Andalusia Health,10036,AL,READM-30-HIP-KNEE-HRRP,,1.1547,6.3173,5.4708,,2021-07-01,2024-06-30,Hip/Knee Replacement,MEDIUM,0.1547,True,1.0391,7,0.1156,15461.78
Andalusia Health,10036,AL,READM-30-HF-HRRP,133.0,1.0426,21.7269,20.8389,32.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0426,True,1.0086,11,0.034,4257.74
Andalusia Health,10036,AL,READM-30-COPD-HRRP,,0.9647,20.2024,20.9412,,2021-07-01,2024-06-30,COPD,LOW,-0.0353,False,0.996,37,-0.0313,0.0
Huntsville Hospital,10039,AL,READM-30-CABG-HRRP,273.0,0.8637,8.6865,10.0572,20.0,2021-07-01,2024-06-30,CABG,LOW,-0.1363,False,1.0447,19,-0.181,0.0
Huntsville Hospital,10039,AL,READM-30-HIP-KNEE-HRRP,,1.0436,6.9377,6.6479,,2021-07-01,2024-06-30,Hip/Knee Replacement,MEDIUM,0.0436,True,1.0391,13,0.0045,4357.68
Huntsville Hospital,10039,AL,READM-30-AMI-HRRP,567.0,0.8965,10.6508,11.8801,55.0,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.1035,False,1.0292,30,-0.1327,0.0
Huntsville Hospital,10039,AL,READM-30-COPD-HRRP,394.0,0.9689,16.8266,17.3667,64.0,2021-07-01,2024-06-30,COPD,LOW,-0.0311,False,0.996,33,-0.0271,0.0
Huntsville Hospital,10039,AL,READM-30-PN-HRRP,1334.0,0.9224,14.0411,15.2222,182.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0776,False,1.0032,59,-0.0808,0.0
Huntsville Hospital,10039,AL,READM-30-HF-HRRP,1218.0,0.997,19.8047,19.8653,241.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.003,False,1.0086,34,-0.0116,0.0
Gadsden Regional Medical Center,10040,AL,READM-30-PN-HRRP,248.0,1.0159,16.9093,16.6453,43.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0159,True,1.0032,24,0.0127,1589.15
Gadsden Regional Medical Center,10040,AL,READM-30-AMI-HRRP,,0.9772,12.5369,12.8299,,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.0228,False,1.0292,22,-0.052,0.0
Gadsden Regional Medical Center,10040,AL,READM-30-HF-HRRP,229.0,0.9563,21.0997,22.0631,45.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0437,False,1.0086,47,-0.0523,0.0
Gadsden Regional Medical Center,10040,AL,READM-30-CABG-HRRP,47.0,1.1728,14.2767,12.1729,11.0,2021-07-01,2024-06-30,CABG,MEDIUM,0.1728,True,1.0447,2,0.1281,17270.81
Gadsden Regional Medical Center,10040,AL,READM-30-COPD-HRRP,89.0,0.9967,19.3825,19.4465,17.0,2021-07-01,2024-06-30,COPD,LOW,-0.0033,False,0.996,19,0.0007,0.0
Gadsden Regional Medical Center,10040,AL,READM-30-HIP-KNEE-HRRP,,1.1146,5.9928,5.3767,,2021-07-01,2024-06-30,Hip/Knee Replacement,MEDIUM,0.1146,True,1.0391,8,0.0755,11453.91
Marion Regional Medical Center,10044,AL,READM-30-HF-HRRP,,0.945,17.0702,18.0636,,2021-07-01,2024-06-30,Heart Failure,LOW,-0.055,False,1.0086,50,-0.0636,0.0
Marion Regional Medical Center,10044,AL,READM-30-PN-HRRP,,1.0028,14.443,14.4034,,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0028,True,1.0032,30,-0.0004,279.85
Fayette Medical Center,10045,AL,READM-30-HF-HRRP,,1.0009,16.5419,16.5277,,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0009,True,1.0086,33,-0.0077,89.95
Fayette Medical Center,10045,AL,READM-30-COPD-HRRP,,1.0117,16.1652,15.9787,,2021-07-01,2024-06-30,COPD,MEDIUM,0.0117,True,0.996,16,0.0157,1169.38
Fayette Medical Center,10045,AL,READM-30-PN-HRRP,,0.9973,14.3354,14.3738,,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0027,False,1.0032,34,-0.0059,0.0
Riverview Regional Medical Center,10046,AL,READM-30-HF-HRRP,275.0,1.106,23.0676,20.8569,71.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.106,True,1.0086,1,0.0974,10594.36
Riverview Regional Medical Center,10046,AL,READM-30-HIP-KNEE-HRRP,,1.0344,5.7642,5.5724,,2021-07-01,2024-06-30,Hip/Knee Replacement,MEDIUM,0.0344,True,1.0391,14,-0.0047,3438.17
Riverview Regional Medical Center,10046,AL,READM-30-AMI-HRRP,,1.0131,14.1243,13.9419,,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.0131,True,1.0292,16,-0.0161,1309.3
Riverview Regional Medical Center,10046,AL,READM-30-PN-HRRP,322.0,1.1181,17.8297,15.9464,65.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.1181,True,1.0032,3,0.1149,11803.72
Riverview Regional Medical Center,10046,AL,READM-30-COPD-HRRP,99.0,1.0628,18.6955,17.591,23.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.0628,True,0.996,6,0.0668,6276.66
Medical Center Enterprise,10049,AL,READM-30-HIP-KNEE-HRRP,,0.8186,3.6231,4.4262,,2021-07-01,2024-06-30,Hip/Knee Replacement,LOW,-0.1814,False,1.0391,31,-0.2205,0.0
Medical Center Enterprise,10049,AL,READM-30-HF-HRRP,105.0,0.9516,16.6277,17.474,14.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0484,False,1.0086,48,-0.057,0.0
Medical Center Enterprise,10049,AL,READM-30-PN-HRRP,146.0,0.9999,13.7023,13.7034,20.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0001,False,1.0032,33,-0.0033,0.0
Medical Center Enterprise,10049,AL,READM-30-COPD-HRRP,58.0,1.0197,16.5552,16.2357,11.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.0197,True,0.996,13,0.0237,1968.95
Lake Martin Community Hospital,10052,AL,READM-30-PN-HRRP,,1.0169,15.3222,15.0674,,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0169,True,1.0032,23,0.0137,1689.1
Flowers Hospital,10055,AL,READM-30-PN-HRRP,302.0,1.0375,15.4196,14.8628,49.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0375,True,1.0032,14,0.0343,3748.01
Flowers Hospital,10055,AL,READM-30-CABG-HRRP,106.0,1.1266,12.1697,10.802,16.0,2021-07-01,2024-06-30,CABG,MEDIUM,0.1266,True,1.0447,4,0.0819,12653.27
Flowers Hospital,10055,AL,READM-30-HIP-KNEE-HRRP,182.0,1.3851,6.2042,4.4792,15.0,2021-07-01,2024-06-30,Hip/Knee Replacement,HIGH,0.3851,True,1.0391,1,0.346,38489.53
Flowers Hospital,10055,AL,READM-30-COPD-HRRP,121.0,0.9429,17.7033,18.776,17.0,2021-07-01,2024-06-30,COPD,LOW,-0.0571,False,0.996,42,-0.0531,0.0
Flowers Hospital,10055,AL,READM-30-AMI-HRRP,264.0,1.083,12.511,11.5523,37.0,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.083,True,1.0292,8,0.0538,8295.59
Flowers Hospital,10055,AL,READM-30-HF-HRRP,322.0,0.966,18.472,19.1221,57.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.034,False,1.0086,45,-0.0426,0.0
St Vincent'S Birmingham,10056,AL,READM-30-AMI-HRRP,122.0,1.0865,13.7718,12.6757,21.0,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.0865,True,1.0292,6,0.0573,8645.4
St Vincent'S Birmingham,10056,AL,READM-30-PN-HRRP,393.0,1.0772,16.2944,15.1266,69.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0772,True,1.0032,9,0.074,7715.9
St Vincent'S Birmingham,10056,AL,READM-30-CABG-HRRP,75.0,1.0823,11.8986,10.994,11.0,2021-07-01,2024-06-30,CABG,MEDIUM,0.0823,True,1.0447,8,0.0376,8225.62
St Vincent'S Birmingham,10056,AL,READM-30-HIP-KNEE-HRRP,,1.1136,6.4814,5.82,,2021-07-01,2024-06-30,Hip/Knee Replacement,MEDIUM,0.1136,True,1.0391,9,0.0745,11353.96
St Vincent'S Birmingham,10056,AL,READM-30-COPD-HRRP,,0.9927,16.7254,16.8485,,2021-07-01,2024-06-30,COPD,LOW,-0.0073,False,0.996,23,-0.0033,0.0
St Vincent'S Birmingham,10056,AL,READM-30-HF-HRRP,360.0,0.9837,18.9407,19.2551,67.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0163,False,1.0086,41,-0.0249,0.0
Bibb Medical Center,10058,AL,READM-30-PN-HRRP,,0.936,13.3177,14.2282,,2021-07-01,2024-06-30,Pneumonia,LOW,-0.064,False,1.0032,56,-0.0672,0.0
Lawrence Medical Center,10059,AL,READM-30-PN-HRRP,,1.0061,16.4814,16.3816,,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0061,True,1.0032,29,0.0029,609.68
Highlands Medical Center,10061,AL,READM-30-PN-HRRP,124.0,0.9641,14.0105,14.5315,15.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0359,False,1.0032,50,-0.0391,0.0
Highlands Medical Center,10061,AL,READM-30-HF-HRRP,,0.9478,16.5381,17.4489,,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0522,False,1.0086,49,-0.0608,0.0
Highlands Medical Center,10061,AL,READM-30-COPD-HRRP,,1.0124,16.55,16.3472,,2021-07-01,2024-06-30,COPD,MEDIUM,0.0124,True,0.996,15,0.0164,1239.34
Russell Medical Center,10065,AL,READM-30-PN-HRRP,,0.9283,13.1245,14.1384,,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0717,False,1.0032,57,-0.0749,0.0
Russell Medical Center,10065,AL,READM-30-AMI-HRRP,,1.0124,13.5084,13.3432,,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.0124,True,1.0292,18,-0.0168,1239.34
Russell Medical Center,10065,AL,READM-30-COPD-HRRP,,1.0214,15.0901,14.7739,,2021-07-01,2024-06-30,COPD,MEDIUM,0.0214,True,0.996,12,0.0254,2138.86
Russell Medical Center,10065,AL,READM-30-HF-HRRP,71.0,0.9711,18.4406,18.9892,11.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0289,False,1.0086,43,-0.0375,0.0
Russell Medical Center,10065,AL,READM-30-HIP-KNEE-HRRP,,0.8224,5.0426,6.1318,,2021-07-01,2024-06-30,Hip/Knee Replacement,LOW,-0.1776,False,1.0391,30,-0.2167,0.0
Clay County Hospital,10073,AL,READM-30-PN-HRRP,,0.9776,12.6753,12.9662,,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0224,False,1.0032,41,-0.0256,0.0
Northeast Alabama Regional Medical Center,10078,AL,READM-30-PN-HRRP,286.0,0.9763,15.9471,16.3335,44.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0237,False,1.0032,42,-0.0269,0.0
Northeast Alabama Regional Medical Center,10078,AL,READM-30-HF-HRRP,309.0,0.9929,20.5581,20.7047,63.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0071,False,1.0086,36,-0.0157,0.0
Northeast Alabama Regional Medical Center,10078,AL,READM-30-COPD-HRRP,225.0,0.9637,18.1024,18.7838,38.0,2021-07-01,2024-06-30,COPD,LOW,-0.0363,False,0.996,38,-0.0323,0.0
Northeast Alabama Regional Medical Center,10078,AL,READM-30-HIP-KNEE-HRRP,195.0,1.3369,6.4864,4.8517,16.0,2021-07-01,2024-06-30,Hip/Knee Replacement,HIGH,0.3369,True,1.0391,3,0.2978,33672.09
Northeast Alabama Regional Medical Center,10078,AL,READM-30-AMI-HRRP,189.0,1.1594,16.516,14.2458,39.0,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.1594,True,1.0292,2,0.1302,15931.53
Athens Limestone Hospital,10079,AL,READM-30-HF-HRRP,132.0,0.9706,18.2694,18.822,22.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0294,False,1.0086,44,-0.038,0.0
Athens Limestone Hospital,10079,AL,READM-30-PN-HRRP,176.0,1.0846,15.178,13.9945,32.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0846,True,1.0032,7,0.0814,8455.5
Athens Limestone Hospital,10079,AL,READM-30-HIP-KNEE-HRRP,,1.0577,5.2252,4.9402,,2021-07-01,2024-06-30,Hip/Knee Replacement,MEDIUM,0.0577,True,1.0391,11,0.0186,5766.93
