facility_id,state,condition_name,measure_name,risk_tier,penalty_flag,hospital_rank_in_state,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,deviation_from_national,state_avg_ratio,estimated_penalty_cost,readmission_rate,penalty_cost,risk_score,improvement_rate
10007,AL,COPD,READM-30-COPD-HRRP,MEDIUM,t,11,1.0232,16.5931,16.2168,0.0232,0.996,2318.77,102.20,2318.77,51.9,2.32
10007,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,7,1.062,19.6947,18.5446,0.062,1.0086,6196.7,106.05,6196.70,55.2,6.20
10007,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,16,1.0345,16.336,15.7913,0.0345,1.0032,3448.17,103.30,3448.17,52.9,3.45
10008,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,32,1.0017,13.4114,13.3883,0.0017,1.0032,169.91,100.02,169.91,50.1,0.17
10011,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,27,1.0102,16.1282,15.9654,0.0102,1.0032,1019.46,100.87,1019.46,50.9,1.02
10011,AL,COPD,READM-30-COPD-HRRP,LOW,f,18,0.9988,19.4501,19.4725,-0.0012,0.996,0,99.77,0.00,49.9,-0.12
10011,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,14,1.0373,19.906,19.1894,0.0373,1.0086,3728.02,103.58,3728.02,53.1,3.73
10011,AL,CABG,READM-30-CABG-HRRP,MEDIUM,t,5,1.1213,12.5649,11.2054,0.1213,1.0447,12123.55,111.93,12123.55,60.1,12.13
10011,AL,AMI (Heart Attack),READM-30-AMI-HRRP,LOW,f,26,0.9697,11.4644,11.8232,-0.0303,1.0292,0,96.80,0.00,47.5,-3.03
10012,AL,COPD,READM-30-COPD-HRRP,LOW,f,21,0.9934,13.8163,13.9081,-0.0066,0.996,0,99.23,0.00,49.5,-0.66
10012,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,22,1.0206,15.253,14.9444,0.0206,1.0032,2058.9,101.91,2058.90,51.7,2.06
10012,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,9,1.0565,11.4786,10.865,0.0565,1.0292,5647,105.46,5647.00,54.7,5.65
10012,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,4,1.084,19.6001,18.0817,0.084,1.0086,8395.53,108.24,8395.53,57.0,8.40
10012,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,LOW,f,23,0.9322,4.0417,4.3357,-0.0678,1.0391,0,92.85,0.00,44.4,-6.78
10016,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,31,1.0053,20.1019,19.9957,0.0053,1.0086,529.72,100.39,529.72,50.4,0.53
10016,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,14,1.027,14.8776,14.4868,0.027,1.0292,2698.56,102.52,2698.56,52.3,2.70
10016,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,MEDIUM,t,10,1.1004,6.2549,5.6843,0.1004,1.0391,10034.66,109.60,10034.66,58.4,10.04
10016,AL,COPD,READM-30-COPD-HRRP,LOW,f,25,0.9888,17.7859,17.9874,-0.0112,0.996,0,98.77,0.00,49.1,-1.12
10016,AL,CABG,READM-30-CABG-HRRP,MEDIUM,t,6,1.0875,12.3307,11.339,0.0875,1.0447,8745.35,108.56,8745.35,57.3,8.75
10016,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,19,1.0292,16.7023,16.2284,0.0292,1.0032,2918.45,102.77,2918.45,52.4,2.92
10019,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,29,1.0061,13.8755,13.7919,0.0061,1.0032,609.68,100.46,609.68,50.5,0.61
10019,AL,COPD,READM-30-COPD-HRRP,MEDIUM,t,9,1.0327,17.547,16.991,0.0327,0.996,3268.26,103.15,3268.26,52.7,3.27
10019,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,53,0.9057,17.2859,19.0851,-0.0943,1.0086,0,90.44,0.00,42.1,-9.43
10019,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,HIGH,t,6,1.2168,5.4095,4.4458,0.2168,1.0391,21668.47,121.20,21668.47,68.1,21.68
10021,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,31,1.002,13.9025,13.8749,0.002,1.0032,199.89,100.05,199.89,50.2,0.20
10022,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,44,0.9738,12.7596,13.1025,-0.0262,1.0032,0,97.24,0.00,47.8,-2.62
10023,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,19,1.0084,14.2828,14.1632,0.0084,1.0292,839.55,100.66,839.55,50.7,0.84
10023,AL,CABG,READM-30-CABG-HRRP,MEDIUM,t,7,1.0851,11.598,10.688,0.0851,1.0447,8505.48,108.32,8505.48,57.1,8.51
10023,AL,COPD,READM-30-COPD-HRRP,MEDIUM,t,8,1.0436,19.9666,19.1329,0.0436,0.996,4357.68,104.24,4357.68,53.6,4.36
10023,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,12,1.049,18.3401,17.4837,0.049,1.0032,4897.4,104.74,4897.40,54.1,4.90
10023,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,9,1.0589,22.0595,20.8335,0.0589,1.0086,5886.87,105.74,5886.87,54.9,5.88
10023,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,LOW,f,21,0.9546,5.4372,5.6955,-0.0454,1.0391,0,95.08,0.00,46.2,-4.54
10024,AL,CABG,READM-30-CABG-HRRP,LOW,f,17,0.9386,10.8206,11.5286,-0.0614,1.0447,0,93.69,0.00,44.9,-6.14
10024,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,22,1.0207,19.7846,19.3825,0.0207,1.0086,2068.9,101.92,2068.90,51.7,2.07
10024,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,15,1.0203,14.862,14.5665,0.0203,1.0292,2028.92,101.85,2028.92,51.7,2.03
10024,AL,COPD,READM-30-COPD-HRRP,LOW,f,39,0.9583,16.1925,16.8969,-0.0417,0.996,0,95.72,0.00,46.5,-4.17
10024,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,28,1.0066,15.9827,15.8774,0.0066,1.0032,659.65,100.51,659.65,50.6,0.66
10029,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,LOW,f,19,0.9746,4.562,4.6807,-0.0254,1.0391,0,97.07,0.00,47.9,-2.54
10029,AL,CABG,READM-30-CABG-HRRP,LOW,f,15,0.9704,9.9541,10.2577,-0.0296,1.0447,0,96.87,0.00,47.5,-2.96
10029,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,10,1.0521,11.5674,10.9948,0.0521,1.0292,5207.23,105.03,5207.23,54.3,5.21
10029,AL,COPD,READM-30-COPD-HRRP,LOW,f,46,0.9239,16.2846,17.6261,-0.0761,0.996,0,92.29,0.00,43.7,-7.61
10029,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,17,1.0273,18.6111,18.1163,0.0273,1.0086,2728.55,102.58,2728.55,52.3,2.73
10029,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,62,0.8875,13.1459,14.8118,-0.1125,1.0032,0,88.62,0.00,40.6,-11.25
10033,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,39,0.9861,19.7513,20.0293,-0.0139,1.0086,0,98.47,0.00,48.8,-1.39
10033,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,HIGH,t,2,1.3796,10.358,7.5079,0.3796,1.0391,37939.82,137.41,37939.82,81.6,37.96
10033,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,1,1.1901,17.2513,14.4954,0.1901,1.0292,18999.89,118.80,18999.89,65.8,19.01
10033,AL,CABG,READM-30-CABG-HRRP,HIGH,t,1,1.2863,15.142,11.7722,0.2863,1.0447,28614.78,128.40,28614.78,73.9,28.63
10033,AL,COPD,READM-30-COPD-HRRP,LOW,f,33,0.9689,19.1648,19.78,-0.0311,0.996,0,96.78,0.00,47.4,-3.11
10033,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,5,1.0983,17.1081,15.5775,0.0983,1.0032,9824.77,109.67,9824.77,58.2,9.83
10035,AL,COPD,READM-30-COPD-HRRP,MEDIUM,t,3,1.0725,17.5077,16.3246,0.0725,0.996,7246.15,107.13,7246.15,56.0,7.25
10035,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,36,0.9922,14.1743,14.2851,-0.0078,1.0032,0,99.07,0.00,49.4,-0.78
10035,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,12,1.0488,12.9285,12.3267,0.0488,1.0292,4877.41,104.70,4877.41,54.1,4.88
10035,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,46,0.9659,17.458,18.0752,-0.0341,1.0086,0,96.45,0.00,47.2,-3.41
10035,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,LOW,f,26,0.8913,4.1609,4.6683,-0.1087,1.0391,0,88.78,0.00,40.9,-10.87
10036,AL,COPD,READM-30-COPD-HRRP,LOW,f,37,0.9647,20.2024,20.9412,-0.0353,0.996,0,96.36,0.00,47.1,-3.53
10036,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,11,1.0426,21.7269,20.8389,0.0426,1.0086,4257.74,104.11,4257.74,53.6,4.26
10036,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,MEDIUM,t,7,1.1547,6.3173,5.4708,0.1547,1.0391,15461.78,115.01,15461.78,62.9,15.47
10036,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,53,0.9462,14.2068,15.0146,-0.0538,1.0032,0,94.48,0.00,45.5,-5.38
10039,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,34,0.997,19.8047,19.8653,-0.003,1.0086,0,99.56,0.00,49.8,-0.31
10039,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,59,0.9224,14.0411,15.2222,-0.0776,1.0032,0,92.10,0.00,43.5,-7.76
10039,AL,COPD,READM-30-COPD-HRRP,LOW,f,33,0.9689,16.8266,17.3667,-0.0311,0.996,0,96.78,0.00,47.4,-3.11
10039,AL,AMI (Heart Attack),READM-30-AMI-HRRP,LOW,f,30,0.8965,10.6508,11.8801,-0.1035,1.0292,0,89.49,0.00,41.4,-10.35
10039,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,MEDIUM,t,13,1.0436,6.9377,6.6479,0.0436,1.0391,4357.68,103.95,4357.68,53.6,4.36
10039,AL,CABG,READM-30-CABG-HRRP,LOW,f,19,0.8637,8.6865,10.0572,-0.1363,1.0447,0,86.22,0.00,38.6,-13.63
10040,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,MEDIUM,t,8,1.1146,5.9928,5.3767,0.1146,1.0391,11453.91,111.02,11453.91,59.6,11.46
10040,AL,COPD,READM-30-COPD-HRRP,LOW,f,19,0.9967,19.3825,19.4465,-0.0033,0.996,0,99.56,0.00,49.7,-0.33
10040,AL,CABG,READM-30-CABG-HRRP,MEDIUM,t,2,1.1728,14.2767,12.1729,0.1728,1.0447,17270.81,117.07,17270.81,64.4,17.28
10040,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,47,0.9563,21.0997,22.0631,-0.0437,1.0086,0,95.49,0.00,46.4,-4.37
10040,AL,AMI (Heart Attack),READM-30-AMI-HRRP,LOW,f,22,0.9772,12.5369,12.8299,-0.0228,1.0292,0,97.55,0.00,48.1,-2.28
10040,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,24,1.0159,16.9093,16.6453,0.0159,1.0032,1589.15,101.44,1589.15,51.3,1.59
10044,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,30,1.0028,14.443,14.4034,0.0028,1.0032,279.85,100.13,279.85,50.2,0.27
10044,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,50,0.945,17.0702,18.0636,-0.055,1.0086,0,94.36,0.00,45.4,-5.50
10045,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,34,0.9973,14.3354,14.3738,-0.0027,1.0032,0,99.58,0.00,49.8,-0.27
10045,AL,COPD,READM-30-COPD-HRRP,MEDIUM,t,16,1.0117,16.1652,15.9787,0.0117,0.996,1169.38,101.06,1169.38,51.0,1.17
10045,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,33,1.0009,16.5419,16.5277,0.0009,1.0086,89.95,99.95,89.95,50.1,0.09
10046,AL,COPD,READM-30-COPD-HRRP,MEDIUM,t,6,1.0628,18.6955,17.591,0.0628,0.996,6276.66,106.16,6276.66,55.2,6.28
10046,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,3,1.1181,17.8297,15.9464,0.1181,1.0032,11803.72,111.64,11803.72,59.8,11.81
10046,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,16,1.0131,14.1243,13.9419,0.0131,1.0292,1309.3,101.13,1309.30,51.1,1.31
10046,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,MEDIUM,t,14,1.0344,5.7642,5.5724,0.0344,1.0391,3438.17,103.03,3438.17,52.9,3.44
10046,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,1,1.106,23.0676,20.8569,0.106,1.0086,10594.36,110.44,10594.36,58.8,10.60
10049,AL,COPD,READM-30-COPD-HRRP,MEDIUM,t,13,1.0197,16.5552,16.2357,0.0197,0.996,1968.95,101.85,1968.95,51.6,1.97
10049,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,33,0.9999,13.7023,13.7034,-0.0001,1.0032,0,99.84,0.00,50.0,-0.01
10049,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,48,0.9516,16.6277,17.474,-0.0484,1.0086,0,95.02,0.00,46.0,-4.84
10049,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,LOW,f,31,0.8186,3.6231,4.4262,-0.1814,1.0391,0,81.54,0.00,34.9,-18.14
10052,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,23,1.0169,15.3222,15.0674,0.0169,1.0032,1689.1,101.54,1689.10,51.4,1.69
10055,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,45,0.966,18.472,19.1221,-0.034,1.0086,0,96.46,0.00,47.2,-3.40
10055,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,8,1.083,12.511,11.5523,0.083,1.0292,8295.59,108.11,8295.59,56.9,8.30
10055,AL,COPD,READM-30-COPD-HRRP,LOW,f,42,0.9429,17.7033,18.776,-0.0571,0.996,0,94.18,0.00,45.2,-5.71
10055,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,HIGH,t,1,1.3851,6.2042,4.4792,0.3851,1.0391,38489.53,137.96,38489.53,82.1,38.51
10055,AL,CABG,READM-30-CABG-HRRP,MEDIUM,t,4,1.1266,12.1697,10.802,0.1266,1.0447,12653.27,112.46,12653.27,60.6,12.66
10055,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,14,1.0375,15.4196,14.8628,0.0375,1.0032,3748.01,103.60,3748.01,53.1,3.75
10056,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,41,0.9837,18.9407,19.2551,-0.0163,1.0086,0,98.23,0.00,48.6,-1.63
10056,AL,COPD,READM-30-COPD-HRRP,LOW,f,23,0.9927,16.7254,16.8485,-0.0073,0.996,0,99.16,0.00,49.4,-0.73
10056,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,MEDIUM,t,9,1.1136,6.4814,5.82,0.1136,1.0391,11353.96,110.92,11353.96,59.5,11.36
10056,AL,CABG,READM-30-CABG-HRRP,MEDIUM,t,8,1.0823,11.8986,10.994,0.0823,1.0447,8225.62,108.04,8225.62,56.9,8.23
10056,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,9,1.0772,16.2944,15.1266,0.0772,1.0032,7715.9,107.56,7715.90,56.4,7.72
10056,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,6,1.0865,13.7718,12.6757,0.0865,1.0292,8645.4,108.46,8645.40,57.2,8.65
10058,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,56,0.936,13.3177,14.2282,-0.064,1.0032,0,93.46,0.00,44.7,-6.40
10059,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,29,1.0061,16.4814,16.3816,0.0061,1.0032,609.68,100.46,609.68,50.5,0.61
10061,AL,COPD,READM-30-COPD-HRRP,MEDIUM,t,15,1.0124,16.55,16.3472,0.0124,0.996,1239.34,101.13,1239.34,51.0,1.24
10061,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,49,0.9478,16.5381,17.4489,-0.0522,1.0086,0,94.64,0.00,45.7,-5.22
10061,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,50,0.9641,14.0105,14.5315,-0.0359,1.0032,0,96.27,0.00,47.0,-3.59
10065,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,LOW,f,30,0.8224,5.0426,6.1318,-0.1776,1.0391,0,81.91,0.00,35.2,-17.76
10065,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,43,0.9711,18.4406,18.9892,-0.0289,1.0086,0,96.97,0.00,47.6,-2.89
10065,AL,COPD,READM-30-COPD-HRRP,MEDIUM,t,12,1.0214,15.0901,14.7739,0.0214,0.996,2138.86,102.02,2138.86,51.8,2.14
10065,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,18,1.0124,13.5084,13.3432,0.0124,1.0292,1239.34,101.06,1239.34,51.0,1.24
10065,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,57,0.9283,13.1245,14.1384,-0.0717,1.0032,0,92.69,0.00,44.0,-7.17
10073,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,41,0.9776,12.6753,12.9662,-0.0224,1.0032,0,97.61,0.00,48.1,-2.24
10078,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,2,1.1594,16.516,14.2458,0.1594,1.0292,15931.53,115.74,15931.53,63.3,15.94
10078,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,HIGH,t,3,1.3369,6.4864,4.8517,0.3369,1.0391,33672.09,133.16,33672.09,78.1,33.69
10078,AL,COPD,READM-30-COPD-HRRP,LOW,f,38,0.9637,18.1024,18.7838,-0.0363,0.996,0,96.26,0.00,47.0,-3.63
10078,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,36,0.9929,20.5581,20.7047,-0.0071,1.0086,0,99.15,0.00,49.4,-0.71
10078,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,42,0.9763,15.9471,16.3335,-0.0237,1.0032,0,97.49,0.00,48.0,-2.37
10079,AL,COPD,READM-30-COPD-HRRP,MEDIUM,t,14,1.0154,17.2155,16.9544,0.0154,0.996,1539.18,101.43,1539.18,51.3,1.54
10079,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,MEDIUM,t,11,1.0577,5.2252,4.9402,0.0577,1.0391,5766.93,105.35,5766.93,54.8,5.77
10079,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,7,1.0846,15.178,13.9945,0.0846,1.0032,8455.5,108.30,8455.50,57.1,8.46
10079,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,44,0.9706,18.2694,18.822,-0.0294,1.0086,0,96.92,0.00,47.6,-2.94
10083,AL,AMI (Heart Attack),READM-30-AMI-HRRP,LOW,f,23,0.974,11.3856,11.6899,-0.026,1.0292,0,97.23,0.00,47.8,-2.60
10083,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,26,1.0109,14.8978,14.7365,0.0109,1.0032,1089.42,100.94,1089.42,50.9,1.09
10083,AL,COPD,READM-30-COPD-HRRP,LOW,f,40,0.9522,15.4148,16.1882,-0.0478,0.996,0,95.11,0.00,46.0,-4.78
10083,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,HIGH,t,5,1.2704,6.189,4.8716,0.2704,1.0391,27025.62,126.54,27025.62,72.5,27.04
10083,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,21,1.0208,19.4535,19.058,0.0208,1.0086,2078.89,101.93,2078.89,51.7,2.08
10085,AL,AMI (Heart Attack),READM-30-AMI-HRRP,LOW,f,24,0.9739,14.9565,15.3571,-0.0261,1.0292,0,97.22,0.00,47.8,-2.61
10085,AL,COPD,READM-30-COPD-HRRP,LOW,f,26,0.9852,15.3062,15.5361,-0.0148,0.996,0,98.41,0.00,48.8,-1.48
10085,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,52,0.9537,14.5714,15.2795,-0.0463,1.0032,0,95.23,0.00,46.1,-4.63
10085,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,51,0.9357,18.1688,19.4183,-0.0643,1.0086,0,93.44,0.00,44.6,-6.43
10085,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,LOW,f,18,0.9781,6.39,6.5333,-0.0219,1.0391,0,97.42,0.00,48.2,-2.19
10086,AL,COPD,READM-30-COPD-HRRP,LOW,f,47,0.9161,17.9576,19.6032,-0.0839,0.996,0,91.51,0.00,43.0,-8.39
10086,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,27,1.0125,19.7087,19.4654,0.0125,1.0086,1249.34,101.10,1249.34,51.0,1.25
10086,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,61,0.9155,13.6151,14.8717,-0.0845,1.0032,0,91.41,0.00,43.0,-8.45
10087,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,47,0.9704,16.1261,16.6179,-0.0296,1.0032,0,96.90,0.00,47.5,-2.96
10087,AL,AMI (Heart Attack),READM-30-AMI-HRRP,LOW,f,21,0.9866,13.6703,13.8566,-0.0134,1.0292,0,98.49,0.00,48.9,-1.34
10087,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,26,1.0179,19.5004,19.1582,0.0179,1.0086,1789.05,101.64,1789.05,51.5,1.79
10089,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,24,1.02,19.0566,18.6834,0.02,1.0086,1998.94,101.85,1998.94,51.7,2.00
10089,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,49,0.9647,15.1438,15.6985,-0.0353,1.0032,0,96.33,0.00,47.1,-3.53
10089,AL,COPD,READM-30-COPD-HRRP,MEDIUM,t,10,1.0294,17.2788,16.7853,0.0294,0.996,2938.44,102.82,2938.44,52.5,2.94
10090,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,35,0.9943,18.7619,18.869,-0.0057,1.0086,0,99.29,0.00,49.5,-0.57
10090,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,2,1.1208,16.4961,14.7188,0.1208,1.0032,12073.58,111.91,12073.58,60.1,12.08
10090,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,LOW,f,27,0.8727,4.4864,5.1409,-0.1273,1.0391,0,86.92,0.00,39.4,-12.73
10090,AL,COPD,READM-30-COPD-HRRP,LOW,f,41,0.9477,15.5823,16.4415,-0.0523,0.996,0,94.66,0.00,45.6,-5.23
10090,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,3,1.1374,13.972,12.2844,0.1374,1.0292,13732.7,113.54,13732.70,61.5,13.74
10090,AL,CABG,READM-30-CABG-HRRP,MEDIUM,t,11,1.0202,10.4751,10.2678,0.0202,1.0447,2018.93,101.84,2018.93,51.7,2.02
10092,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,11,1.05,12.9555,12.3382,0.05,1.0292,4997.34,104.82,4997.34,54.2,5.00
10092,AL,COPD,READM-30-COPD-HRRP,MEDIUM,t,1,1.1728,21.7994,18.5871,0.1728,0.996,17270.81,117.15,17270.81,64.4,17.28
10092,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,16,1.0331,19.315,18.6969,0.0331,1.0086,3308.24,103.16,3308.24,52.8,3.31
10092,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,11,1.066,16.3941,15.3797,0.066,1.0032,6596.49,106.44,6596.49,55.5,6.60
10097,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,25,1.0135,14.2264,14.0373,0.0135,1.0032,1349.28,101.20,1349.28,51.1,1.35
10099,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,23,1.0201,18.9299,18.5561,0.0201,1.0086,2008.93,101.86,2008.93,51.7,2.01
10099,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,43,0.976,12.8734,13.1904,-0.024,1.0032,0,97.46,0.00,48.0,-2.40
